VALUE, SEQ, DICHO
0, 0.01205, 0.00000
1, 0.01105, 0.00000
2, 0.02416, 0.00000
3, 0.00130, 0.00000
4, 0.02696, 0.00000
5, 0.01706, 0.00000
6, 0.00776, 0.00000
7, 0.02691, 0.00000
8, 0.02611, 0.00000
9, 0.01065, 0.00000
10, 0.01566, 0.00000
11, 0.00575, 0.00000
12, 0.02181, 0.00000
13, 0.00765, 0.00000
14, 0.02696, 0.00000
15, 0.02366, 0.00000
16, 0.01595, 0.00000
17, 0.02364, 0.00000
18, 0.02481, 0.00000
19, 0.01425, 0.00000
20, 0.02441, 0.00000
21, 0.00270, 0.00000
22, 0.01864, 0.00000
23, 0.00595, 0.00000
24, 0.02480, 0.00000
25, 0.00951, 0.00000
26, 0.00895, 0.00000
27, 0.02461, 0.00000
28, 0.02321, 0.00000
29, 0.01586, 0.00000
30, 0.00195, 0.00000
31, 0.03015, 0.00000
32, 0.00430, 0.00000
33, 0.02506, 0.00000
34, 0.01766, 0.00000
35, 0.02522, 0.00000
36, 0.01296, 0.00000
37, 0.02289, 0.00000
38, 0.01260, 0.00000
39, 0.00290, 0.00000
40, 0.00200, 0.00000
41, 0.02312, 0.00000
42, 0.00316, 0.00000
43, 0.00200, 0.00000
44, 0.02284, 0.00000
45, 0.00931, 0.00000
46, 0.02486, 0.00000
47, 0.00070, 0.00000
48, 0.00670, 0.00000
49, 0.00895, 0.00000
50, 0.00100, 0.00000
51, 0.02276, 0.00000
52, 0.02266, 0.00000
53, 0.02020, 0.00000
54, 0.00320, 0.00000
55, 0.00515, 0.00000
56, 0.01065, 0.00000
57, 0.02050, 0.00000
58, 0.00695, 0.00000
59, 0.00340, 0.00000
60, 0.02271, 0.00000
61, 0.01961, 0.00010
62, 0.01921, 0.00000
63, 0.02307, 0.00000
64, 0.02566, 0.00000
65, 0.02306, 0.00000
66, 0.00010, 0.00000
67, 0.02336, 0.00000
68, 0.01575, 0.00000
69, 0.02459, 0.00000
70, 0.02936, 0.00000
71, 0.00310, 0.00000
72, 0.01375, 0.00000
73, 0.02423, 0.00000
74, 0.02511, 0.00000
75, 0.00471, 0.00000
76, 0.00935, 0.00000
77, 0.00650, 0.00000
78, 0.02348, 0.00000
79, 0.00927, 0.00000
80, 0.01127, 0.00000
81, 0.01135, 0.00000
82, 0.02492, 0.00000
83, 0.00030, 0.00000
84, 0.01406, 0.00000
85, 0.00120, 0.00000
86, 0.01275, 0.00000
87, 0.00985, 0.00000
88, 0.02172, 0.00000
89, 0.00921, 0.00000
90, 0.00566, 0.00010
91, 0.00520, 0.00000
92, 0.00010, 0.00000
93, 0.03189, 0.00000
94, 0.02211, 0.00000
95, 0.01025, 0.00010
96, 0.03026, 0.00000
97, 0.02520, 0.00000
98, 0.02567, 0.00000
99, 0.01972, 0.00000
100, 0.00230, 0.00000
101, 0.02292, 0.00000
102, 0.02337, 0.00000
103, 0.00180, 0.00000
104, 0.02280, 0.00010
105, 0.01691, 0.00000
106, 0.02470, 0.00000
107, 0.02386, 0.00000
108, 0.01125, 0.00000
109, 0.01275, 0.00000
110, 0.02317, 0.00000
111, 0.02336, 0.00000
112, 0.00765, 0.00000
113, 0.00710, 0.00010
114, 0.01329, 0.00000
115, 0.00900, 0.00000
116, 0.00035, 0.00000
117, 0.02257, 0.00000
118, 0.00610, 0.00000
119, 0.00965, 0.00000
120, 0.02537, 0.00000
121, 0.01951, 0.00000
122, 0.00985, 0.00000
123, 0.02252, 0.00000
124, 0.00495, 0.00000
125, 0.01555, 0.00000
126, 0.02318, 0.00010
127, 0.00456, 0.00000
128, 0.02401, 0.00000
129, 0.00675, 0.00010
130, 0.00320, 0.00000
131, 0.00539, 0.00000
132, 0.02260, 0.00000
133, 0.02393, 0.00000
134, 0.00956, 0.00000
135, 0.02366, 0.00000
136, 0.02370, 0.00010
137, 0.02296, 0.00000
138, 0.01391, 0.00000
139, 0.00200, 0.00000
140, 0.02506, 0.00000
141, 0.01505, 0.00000
142, 0.01601, 0.00000
143, 0.02492, 0.00000
144, 0.02476, 0.00000
145, 0.02726, 0.00000
146, 0.00685, 0.00000
147, 0.00455, 0.00000
148, 0.00430, 0.00000
149, 0.01570, 0.00000
150, 0.00560, 0.00000
151, 0.01115, 0.00000
152, 0.02546, 0.00000
153, 0.02466, 0.00000
154, 0.00964, 0.00000
155, 0.00625, 0.00000
156, 0.02361, 0.00000
157, 0.02546, 0.00000
158, 0.00290, 0.00000
159, 0.00130, 0.00000
160, 0.02358, 0.00000
161, 0.01821, 0.00000
162, 0.02566, 0.00000
163, 0.00486, 0.00000
164, 0.00515, 0.00000
165, 0.02470, 0.00000
166, 0.02121, 0.00000
167, 0.01561, 0.00000
168, 0.02287, 0.00000
169, 0.00020, 0.00000
170, 0.00496, 0.00000
171, 0.02368, 0.00000
172, 0.02311, 0.00000
173, 0.00400, 0.00000
174, 0.02301, 0.00000
175, 0.02261, 0.00000
176, 0.02426, 0.00000
177, 0.01336, 0.00000
178, 0.02232, 0.00000
